singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
iD3MEisEpr,0.0,5.0,0.0,0.0,0.0,1,3Hic81VUoS,Oblique Crunch,7MASMX6Xiu,2019-03-21,fake_id_285
ngFyLyXzFf,0.0,10.0,0.0,0.0,0.0,2,9mEovNYDC7,Decline Crunch,ZeNaxrdL3S,2018-08-15,fake_id_283
YFgMUbHDTd,9.071858188712797,10.0,0.0,0.0,0.0,3,5whZCpmREI,Good Morning,zg4C7qvllC,2019-04-08,fake_id_286
yb7144Ndak,60.0,15.0,0.0,0.0,0.0,2,HUfcHVMvn7,Machine Hip Adductor,WrzVIW6uiQ,2019-02-16,fake_id_291
4ubCvjuWKl,0.0,25.0,0.0,0.0,0.0,3,FSsKHXxqJ4,Oblique Crunch,fHx3gFSsWo,2019-06-24,fake_id_286
DvA11uLhkt,11.339822735890994,12.0,0.0,0.0,0.0,1,57u0WnDkjw,Decline Crunch,A8D1VWXQTM,2019-02-07,fake_id_283
xHXLotx6I6,40.82336184920758,8.0,0.0,0.0,0.0,1,JvswGFl3Hs,Smith Machine Close-Grip Bench Press,V4thwOm3sS,2019-01-02,fake_id_289
qYvtUPV6s0,35.0,10.0,0.0,0.0,0.0,3,rfGUry5F51,Assisted Pull Up,M6YtBOTKP3,2019-07-21,fake_id_291
xxPKb3ehPH,0.0,20.0,0.0,0.0,0.0,4,lRMrl8W7FW,Bosu Ball Crunch,dzWIDBKfYk,2018-03-15,fake_id_291
1iCfNfq9Fs,25.0,20.0,0.0,0.0,0.0,2,iSZgOk08ZV,Standing Barbell Calf Raise,zialxDxgC7,2018-03-01,fake_id_291
GRh1yfttQ0,0.0,17.0,0.0,0.0,0.0,2,xJ1exmMMmB,Decline Push Up,SqkLFN2KZg,2018-05-26,fake_id_291
RqpmWvyyIz,45.0,8.0,0.0,0.0,0.0,2,vCiBVZCmsi,Assisted Dip,aETxSHEpVr,2017-12-23,fake_id_291
46P1KchLMe,0.0,0.0,2011.68,780.0,0.0,1,GEnf7sYhuM,Running - Treadmill,328dUExXOD,2019-08-06,fake_id_284
MohNNKVFA1,15.0,10.0,0.0,0.0,0.0,1,Zb6E1hJ9Ad,Stiff-Legged Barbell Good Morning,2lu6mb1Gez,2017-10-17,fake_id_281
7c3Z9z1YE3,55.0,15.0,0.0,0.0,0.0,2,iHDA4J1wr6,Machine Hip Abductor,UZvuUosGmz,2018-01-01,fake_id_291
D7ubzCYkH9,20.41168092460379,12.0,0.0,0.0,0.0,1,k16LWD6ZjB,Hammerstrength High Row,hnToGI7wYG,2018-07-27,fake_id_283
dWyYap82Of,5.669911367945497,12.0,0.0,0.0,0.0,2,blqVdsSEU0,Barbell Hip Thrust,8RSJsgSQVu,2018-10-26,fake_id_292
5DASs4fDkS,4.535929094356399,12.0,0.0,0.0,0.0,2,JQsptHjbe7,Front Plate Raise,U0E2STtCLu,2019-04-04,fake_id_286
sGZVMJgHi1,0.0,0.0,2896.819200000001,1200.0,0.0,1,7Zn5vkFPa7,Running - Treadmill,iiB3aHJDeY,2019-03-02,fake_id_292
GgiS3lJZi3,4.535929094356399,10.0,0.0,0.0,0.0,1,lqlrhSM4JC,Dumbbell No Money Curls,iiB3aHJDeY,2019-03-02,fake_id_292
